week_ending,followers,net_new,profile_visits,accounts_reached,shares,saves,comments,story_replies,qualified_conversations,best_post,notes
2026-10-04,,,,,,,,,,,
2026-10-11,,,,,,,,,,,
2026-10-18,,,,,,,,,,,
2026-10-25,,,,,,,,,,,
